label,text
ham,"Ok, nos vemos a las 7 en la estación."
spam,"URGENTE: ganaste un premio de $1000. Responde YA para reclamarlo."
ham,"¿Puedes enviarme el informe antes de las 5?"
spam,"Has sido seleccionado para un crédito inmediato. Haz clic en el enlace."
ham,"Te llamo cuando salga de la oficina."
spam,"Felicidades, tu número fue elegido para recibir un bono exclusivo."
ham,"Gracias por tu ayuda ayer."
spam,"Oferta limitada: compra 1 y lleva 2. Responde COMPRAR."
ham,"Mamá, llego en 20 minutos."
spam,"Tu cuenta será bloqueada si no verificas tus datos ahora."
ham,"Reunión movida para mañana a las 9."
spam,"Obtén internet ilimitado con 70% de descuento, solo hoy."
ham,"¿Almorzamos juntos mañana?"
spam,"Reclama tu cupón gratis enviando GRATIS al 8080."
ham,"Ya pagué el recibo, todo listo."
spam,"Último aviso: tienes un paquete pendiente. Confirma tu dirección."
ham,"Estoy en camino, tráfico pesado."
spam,"Gana dinero rápido desde casa sin experiencia."
ham,"No olvides comprar pan."
spam,"Tu suscripción premium empieza hoy. Cancela aquí si no la solicitaste."
